en	sv	ar	de	az	fr	eu	nl	ru	be	it	bg	es	ca	pl	vi	hr	ja	cs	da	pt	uk	eo	fa	et	sr	fi	no	id	gl	ko	ka	hu	el	ro	hi	tr	ms	sk	la	lv	lt	mk	sl	ur	th	ta	cy	af	sq	bn	tl	te	ht	sw	ga	is	gu	kn	yi
Where do you live?	Var bor du?	أين تعيش؟	Wo wohnst du?	Harada yaşayırsan?	Où habitez-vous?	Non bizi zara?	Waar woon je?	Где вы живете?	Дзе ты жывеш?	Dove vivi?	Къде живееш?	¿Dónde vives?	On vius?	Gdzie mieszkasz?	Bạn sống ở đâu?	Gdje živiš?	どこに住んでいますか？	Kde bydlíš?	Hvor bor du?	Onde você mora?	Де ти мешкаєш?	Kie vi loĝas?	کجا زندگی می کنید؟	Kus sa elad?	Где ти живиш?	Missä sinä asut?	Hvor bor du?	Dimana kamu tinggal?	Onde vostede vive?	어디 사세요?	Სად ცხოვრობ?	Hol laksz?	Που μένεις?	Unde locuiți?	आप कहाँ रहते हैं?	Nerede yaşıyorsun?	Di mana awak tinggal?	Kde bývaš?	Ubi habitas?	Kur tu dzīvo?	Kur tu gyveni?	Каде живееш?	Kje živiš?	تم کہاں رہتے ہو؟	คุณอาศัยอยู่ที่ไหน?	நீங்கள் எங்கு வாழ்கிறீர்கள்?	Ble rydych chi'n byw?	Waar woon jy?	Ku jeton?	আপনি কোথায় বাস করেন?	Saan ka nakatira?	మీరు ఎక్కడ నివసిస్తున్నారు?	Ki kote w ap viv?	Unaishi wapi?	Cá bhfuil tú i do chónaí?	Hvar áttu heima?	તમે ક્યાં રહો છો?	ನೀವು ಎಲ್ಲಿ ವಾಸಿಸುತ್ತೀರ?	וואו וואוינסטו?
I live in an apartment.	Jag bor i en lägenhet.	انا اعيش في شقة.	Ich lebe in einem Apartment.	Mən bir mənzildə yaşayır.	J'habite dans un appartement.	Bizi apartamentu batean nuen.	Ik woon in een appartement.	Я живу в квартире.	Я жыву ў кватэры.	Vivo in un appartamento.	Живея в апартамент.	Yo vivo en un apartamento.	Visc en un apartament.	Mieszkam w mieszkaniu.	Tôi sống trong một căn hộ.	Ja živim u stanu.	私はアパートに住んでいます。	Bydlím v bytě.	Jeg bor i en lejlighed.	Eu moro em um apartamento.	Я живу в квартирі.	Mi loĝas en apartamento.	من در یک آپارتمان زندگی می کنم.	Ma elan korteris.	Ја живим у стану.	Asun asunnossa.	Jeg bor i en leilighet.	Saya tinggal di apartemen.	Eu moro nun apartamento.	나는 아파트에 산다.	ვცხოვრობ ბინაში.	Lakásban lakom.	Ζω σε διαμέρισμα.	Locuiesc intr-un apartament.	मैं एक अपार्टमेंट में रहता हूँ।	Apartmanda yaşıyorum.	Saya tinggal di sebuah apartmen.	Bývam v apartmáne.	Ego vivere in Diaetam colebamus.	ES dzīvoju dzīvoklī.	Aš gyvenu bute.	Јас живеам во стан.	Živim v stanovanju.	میں ایک اپارٹمنٹ میں رہتا ہوں.	ฉันอาศัยอยู่ในอพาร์ทเม้น	நான் ஒரு அபார்ட்மெண்ட் வாழ்கின்றனர்.	Rydw i'n byw mewn fflat.	Ek bly in 'n woonstel.	Une jetoj ne nje apartament.	আমি একটি এপার্টমেন্টে বাস.	nakatira ako sa isang apartment.	నేను అపార్టుమెంటులో నివసిస్తాను.	Mwen ap viv nan yon apatman.	Ninaishi ghorofa.	Mé i mo chónaí in árasán.	Ég bý í íbúð.	હું એક એપાર્ટમેન્ટમાં રહે છે.	ನಾನು ಅಪಾರ್ಟ್ಮೆಂಟ್ನಲ್ಲಿ ವಾಸಿಸುತ್ತಿದ್ದೇನೆ.	איך לעבן אין אַ וווינונג.
I live in Texas	Jag bor i Texas	أنا أعيش في ولاية تكساس	Ich lebe in Texas	Mən Texas yaşayır	Je vis au Texas	bizi naiz Texasen	ik woon in Texas	Я живу в Техасе	Я жыву ў Тэхасе	vivo in Texas	Аз живея в Тексас	Vivo en Texas	Jo visc a Texas	Mieszkam w Teksasie	tôi sống ở Texas	Ja živim u Teksasu	私はテキサスに住んでいます	Bydlím v Texasu	Jeg bor i Texas	eu moro no Texas	Я живу в Техасі	Mi loĝas en Teksaso	من در تگزاس زندگی میکنم	Ma elan Texas	Живим у Тексасу	Asun Teksasissa	Jeg bor i Texas	Saya tinggal di Texas	Eu vivo en Texas	나는 텍사스에 살고	ვცხოვრობ Texas	Élek Texasban	Ζω στο Τέξας	Eu locuiesc în Texas	मैं टैक्सस में रहता हूं	Teksas'da yaşıyorum	Saya tinggal di Texas	Bývam v Texase	Vivo Texas	Es dzīvoju Texas	Gyvenu Teksase	Јас живеам во Тексас	Živim v Teksasu	میں ٹیکساس میں رہتے	ฉันอาศัยอยู่ในเท็กซัส	நான் டெக்சாஸ் வாழ	Rydw i'n byw yn Texas	Ek woon in Texas	Unë jetoj në Teksas	আমি টেক্সাসে থাকি	nakatira ako sa Texas	నేను టెక్సాస్ లో నివసిస్తున్నారు	Mwen ap viv nan Texas	Ninaishi Texas	Mé i mo chónaí i Texas	Ég bý í Texas	હું ટેક્સાસમાં રહે છે	ನಾನು ಟೆಕ್ಸಾಸ್ ವಾಸಿಸುತ್ತಿದ್ದಾರೆ	איך לעבן אין טעקסאַס
What's the weather today?	Hur är vädret idag?	ما هو الطقس اليوم؟	Wie ist das Wetter heute?	hava bu gün nə var?	Quel temps fait-il aujourd'hui?	Zer da eguraldia gaur?	Wat is het weer vandaag?	Какая сегодня погода?	Што сёння надвор'е?	Che tempo fa oggi?	Какво ще е времето днес?	¿Cómo está el tiempo hoy?	Quin temps fa avui?	Jaka jest dziś pogoda?	Thời tiết hôm nay thế nào?	Kakvo je vrijeme danas?	天気は今日は何ですか？	Co je dnes počasí?	Hvordan er vejret i dag?	Como esta o tempo hoje?	Що сьогодні погода?	Kio estas la vetero hodiaŭ?	آب و هوای امروز چه خبر؟	Milline ilm on täna?	Какво је време данас?	Millainen sää tänään?	Hva er været i dag?	Bagaimana cuaca hari ini?	Como está o tempo hoxe?	날씨는 오늘 무엇입니까?	რა არის ამინდის დღეს?	Mi az időjárás ma?	Τι είναι ο καιρός σήμερα;	Care este vremea de azi?	आज का मौसम कैसा है?	Bugün hava nasıl?	Bagaimana cuaca hari ini?	Čo je dnes počasie?	Quid est tempestas hodie?	Kādi laikapstākļi šodien?	Kas šiandien oras?	Што е времето денес?	Kaj je vreme danes?	آج موسم کیسا ہے؟	สภาพอากาศวันนี้?	இன்று வானிலை எப்படி இருக்கும்?	Sut mae'r tywydd heddiw?	Wat is die weer vandag?	Çfarë është koha sot?	আজ কি আবহাওয়া?	Ano ang panahon ngayon?	నేడు వాతావరణ వార్తలు?	Ki sa ki nan move tan an jodi a?	Hali ya hewa leo?	Cad é an aimsir inniu?	Hvernig er veðrið í dag?	આજે શું હવામાન છે?	ಇಂದು ಹವಾಮಾನ ಹೇಗೆ?	וואָס ס די וועטער הייַנט?
What time is it?	Vad är klockan?	أي ساعة؟	Wie spät ist es?	Saat neçədir?	Quelle heure est-il?	Zer ordu da?	Hoe laat is het?	Который сейчас час?	Колькі часу?	Che ore sono?	Колко е часът?	¿Que hora es?	Quina hora es?	Która godzina?	Mấy giờ rồi?	Koliko je sati?	今何時ですか？	Kolik je hodin?	Hvad er klokken?	Que horas são?	Котра година?	Kioma horo estas?	ساعت چند است؟	Mis kell on?	Колико је сати?	Paljonko kello on?	Hva er klokka?	Jam berapa?	Que hora é?	지금 몇 시지?	Რომელი საათია?	Mennyi az idő?	Τι ώρα είναι?	Cât este ceasul?	क्या समय हुआ है?	Saat kaç?	Apa masa ia?	Koľko je hodín?	Quid temporem est?	Cik ir pulkstenis?	Kiek dabar valandų?	Колку е часот?	Koliko je ura?	کیا وقت ہوا ہے؟	สิ่งที่เวลามันคืออะไร?	அது என்ன நேரம்?	Faint o'r gloch yw hi?	Hoe laat is dit?	Sa eshte ora?	ক 'টা বাজে?	Anong oras na?	ఇప్పుడు సమయం ఎంత?	Ki le li ye?	Ni saa ngapi?	Cén t-am é?	Hvað er klukkan?	કેટલા વાગ્યા?	ಈಗ ಸಮಯ ಎಷ್ಟು?	וואס איז דער צייט?
Where is the bathroom?	Vart är badrummet?	أين هو الحمام؟	Wo ist die Toilette?	Hamam haradadır?	Où se trouvent les toilettes?	Non dago komuna?	Waar is het toilet?	Где здесь ванная комната?	Дзе ванны пакой?	Dov'è il bagno?	Къде е банята?	¿Dónde está el baño?	On és el lavabo?	Gdzie jest łazienka?	Nhà vệ sinh ở đâu?	Gdje je kupaonica?	化粧室はどこですか？	Kde je koupelna?	Hvor er toilettet?	Onde fica o banheiro?	Де туалет?	Kie estas la necesejo?	دستشویی کجاست؟	Kus on vannituba?	Где је купатило?	Missä on kylpyhuone?	Hvor er toalettet?	Di mana letak kamar mandi?	Onde está o baño?	화장실은 어디에 있습니까?	Სად არის აბაზანა?	Hol van a fürdőszoba?	Πού είναι το μπάνιο?	Unde este toaleta?	बाथरूम कहां है?	Banyo nerede?	Di manakah bilik air?	Kde je kúpelňa?	Ubi est latrina?	Kur ir vannasistaba?	Kur yra tualetas?	Каде е бањата?	Kje je kopalnica?	غسل خانہ کدھر ہے؟	ห้องน้ำอยู่ที่ไหน?	குளியலறையில் எங்கே?	Ble mae'r ystafell ymolchi?	Waar is die badkamer?	Ku është tualeti?	বাথরুমটা কোথায়?	Nasaan ang palikuran?	స్నానాల గది ఎక్కడ?	Ki kote twalet la ye?	bafuni ni wapi?	Cá bhfuil an leithreas?	Hvar er klósettið?	બાથરૂમમાં ક્યાં છે?	ಸ್ನಾನದ ಮೆನೆ ಎಲ್ಲಿದೆ?	וואו איז די באדע - צימער?
How old are you?	Hur gammal är du?	كم عمرك؟	Wie alt sind Sie?	Neçə yaşın var?	Quel âge avez-vous?	Zenbat urte dituzu?	Hoe oud ben je?	Сколько тебе лет?	Колькі табе гадоў?	Quanti anni hai?	На колко години си?	¿Cuantos años tienes?	Quants anys tens?	Ile masz lat?	Bạn bao nhiêu tuổi?	Koliko si star?	あなたは何歳ですか？	Kolik je Vám let?	Hvor gammel er du?	Quantos anos você tem?	Скільки тобі років?	Kiomjara vi estas?	شما چند سال دارید؟	Kui vana sa oled?	Колико имаш година?	Kuinka vanha olet?	Hvor gammel er du?	Berapakah umur Anda?	Cantos anos tes?	당신은 몇 살입니까?	Რამდენი წლის ხარ?	Hány éves vagy?	Πόσο χρονών είσαι?	Cati ani ai?	आप की उम्र क्या है?	Kaç yaşındasınız?	Berapakah umur kamu?	Koľko máš rokov?	Quot annorum es?	Cik tev gadu?	Kiek tau metų?	Колку години имаш?	Koliko ste stari?	آپ کتنے سال کے ہو؟	คุณอายุเท่าไหร่?	உங்கள் வயது என்ன?	Beth yw eich oed?	Hoe oud is jy?	Sa vjeç jeni?	আপনার বয়স কত?	Ilang taon ka na?	మీ వయస్సు ఎంత?	Ki laj ou?	Una miaka mingapi?	Cén aois thú?	Hversu gamall ert þú?	તમારી ઉંમર કેટલી છે?	ನಿನ್ನ ವಯಸ್ಸು ಎಷ್ಟು?	ווי אלט זענט איר?
What is your address?	Vad är din adress?	ما هو عنوانك؟	Welche ist Ihre Adresse?	Sizin ünvanı nədir?	Quelle est ton adresse?	Zein da zure helbidea?	Wat is je adres?	Какой у Вас адрес?	Што ваш адрас?	Qual è il tuo indirizzo?	Какъв е Вашият адрес?	¿Cual es tu dirección?	Quin és la seva adreça?	Jaki jest Twój adres?	Địa chỉ của bạn là gì?	Koja je Vaša adresa?	あなたのアドレスは何ですか？	Jakou máte adresu?	Hvad er din adresse?	Qual é o seu endereço?	Яка ваша адреса?	Kio estas via adreso?	آدرس شما چیست؟	Mis on teie aadress?	Која је Ваша адреса?	Mikä on osoitteesi?	Hva er adressen din?	Alamat anda dimana?	Cal é o seu enderezo?	당신의 주소는 무엇입니까?	Რა არის თქვენი მისამართი?	Mi a lakcíme?	Ποια είναι η διεύθυνσή σας?	Care este adresa ta?	आपका पता क्या है?	Adresiniz nedir?	Apakah alamat anda?	Akú máte adresu?	Quae est oratio tua?	Kāda ir jūsu adrese?	Koks jūsų adresas?	Која е вашата адреса?	Kakšen je tvoj naslov?	تمہارا پتہ کیا ہے؟	ที่อยู่ของคุณคืออะไร?	உங்கள் முகவரி என்ன?	Beth yw eich cyfeiriad?	Wat is jou adres?	Cila është adresa juaj?	আপনার ঠিকানা কি?	Saan kayo nakatira?	మీ చిరునాామా ఏమిటి?	Ki sa ki se adrès ou a?	Ni nini anwani yako?	Cad é do sheoladh?	Hvert er heimilisfangið þitt?	તમારું સરનામું શું છે?	ನಿಮ್ಮ ವಿಳಾಸ ಏನು?	וואָס איז דיין אַדרעס?
What is the address?	Vad är adressen?	ما هو العنوان؟	Wie lautet die Adresse?	Ünvan nədir?	Quelle est l'adresse?	Zein da helbidea?	Wat is het adres?	Какой адрес?	Які адрас?	Qual'è l'indirizzo?	Какъв е адресът?	¿Cual es la direccion?	Quina és la direcció?	Jaki jest adres?	Địa chỉ là gì?	Koja je adresa?	アドレスとは何ですか？	Jaká je adresa?	Hvad er adressen?	Qual é o endereço?	Який адресу?	Kio estas la adreso?	آدرس چیست؟	Mis on aadress?	Која је адреса?	Mikä on osoite?	Hva er adressen?	Apa alamatnya?	Cal é o enderezo?	주소는 무엇입니까?	Რა მისამართია?	Mi a cím?	Ποια είναι η διεύθυνση?	Care este adresa?	पता क्या है?	Adres ne?	Apa yang alamat?	Aká je adresa?	Quid est oratio?	Kāda ir adrese?	Koks adresas?	Што е адресата?	Kakšen je naslov?	پتہ کیا ہے؟	ที่อยู่อะไร?	முகவரி என்ன?	Beth yw cyfeiriad?	Wat is die adres?	Cila eshte adresa?	ঠিকানাটা কি?	Ano ang address?	చిరునామా ఏమిటి?	Ki sa ki se adrès la?	Je pepe?	Cad é an seoladh?	Hvað er heimilisfangið?	સરનામું શું છે?	ವಿಳಾಸ ಏನು?	וואָס איז די אַדרעס?
Are you in bed?	Är du i sängen?	هل انت على السرير؟	Bist du im Bett?	Sən yataqdasan?	Es tu au lit?	Zara ohean?	Ben je in bed?	Ты в кровати?	Вы ў ложку?	Sei a letto?	В леглото ли си?	¿Estás en la cama?	Estàs al llit?	Jesteś w łóżku?	Bạn có đang ở trên giường?	Da li si u krevetu?	ベッドに居る？	Jsi v posteli?	Er du gået i seng?	Estás na cama?	Ви в ліжку?	Ĉu vi estas en la lito?	آیا شما در رختخواب؟	Kas sa oled voodis?	Да ли сте у кревету?	Oletko sängyssä?	Har du lagt deg?	Apakah Anda di tempat tidur?	É vostede na cama?	침대에 있니?	ხართ თუ არა ამ საწოლი?	Ágyban vagy?	Είσαι στο κρεβάτι?	Ești în pat?	तुम बिस्तर में हो क्या?	Yatakta mısın?	Awak sudah tidurkah?	Si v posteli?	In lectulo es?	Vai jums gultā?	Ar tu lovoje?	Дали си во кревет?	Ali si v postelji?	کیا آپ بستر میں ہیں؟	คุณอยู่ในเตียง?	நீ படுக்கையில் இருக்கிறாயா?	Ydych chi yn y gwely?	Is jy in die bed?	A jeni në shtrat?	আপনি কি বিছানায়?	Sigurado ka sa kama?	మీరు బెడ్ లో ఉన్నారా?	Èske ou nan kabann?	Je, wewe ni katika kitanda?	An bhfuil tú i leaba?	Ert þú í rúminu?	શું તમે પથારી માં છો?	ನೀವು ಹಾಸಿಗೆಯಲ್ಲಿ ಬಯಸುವಿರಾ?	זענען איר אין בעט?
